condition,research_seed,phase,episode,world_seed,success,steps,failed_actions,block_moves,imagination_interventions
random,9101,evaluation_train_world_frozen,0,76001,False,35,14,1,0
random,9101,evaluation_train_world_frozen,1,76002,False,35,18,2,0
random,9101,evaluation_train_world_frozen,2,76003,False,35,8,4,0
random,9101,evaluation_train_world_frozen,3,76004,False,35,5,0,0
random,9101,evaluation_train_world_frozen,4,76005,False,35,12,0,0
random,9101,evaluation_train_world_frozen,5,76001,False,35,24,1,0
random,9101,evaluation_train_world_frozen,6,76002,False,35,16,2,0
random,9101,evaluation_train_world_frozen,7,76003,False,35,7,1,0
random,9101,evaluation_train_world_frozen,8,76004,False,35,14,0,0
random,9101,evaluation_train_world_frozen,9,76005,False,35,9,3,0
random,9101,evaluation_train_world_frozen,10,76001,False,35,12,2,0
random,9101,evaluation_train_world_frozen,11,76002,False,35,9,3,0
random,9101,evaluation_train_world_frozen,12,76003,False,35,12,2,0
random,9101,evaluation_train_world_frozen,13,76004,False,35,6,1,0
random,9101,evaluation_train_world_frozen,14,76005,False,35,17,0,0
random,9101,evaluation_train_world_frozen,15,76001,False,35,22,1,0
random,9101,evaluation_train_world_frozen,16,76002,False,35,10,2,0
random,9101,evaluation_train_world_frozen,17,76003,False,35,12,3,0
random,9101,evaluation_train_world_frozen,18,76004,False,35,13,1,0
random,9101,evaluation_train_world_frozen,19,76005,False,35,11,0,0
contextual_policy,9101,evaluation_train_world_frozen,0,76001,False,35,35,0,0
contextual_policy,9101,evaluation_train_world_frozen,1,76002,False,35,34,0,0
contextual_policy,9101,evaluation_train_world_frozen,2,76003,False,35,34,1,0
contextual_policy,9101,evaluation_train_world_frozen,3,76004,True,11,2,1,0
contextual_policy,9101,evaluation_train_world_frozen,4,76005,False,35,34,0,0
contextual_policy,9101,evaluation_train_world_frozen,5,76001,False,35,35,0,0
contextual_policy,9101,evaluation_train_world_frozen,6,76002,False,35,34,0,0
contextual_policy,9101,evaluation_train_world_frozen,7,76003,False,35,34,1,0
contextual_policy,9101,evaluation_train_world_frozen,8,76004,True,11,2,1,0
contextual_policy,9101,evaluation_train_world_frozen,9,76005,False,35,34,0,0
contextual_policy,9101,evaluation_train_world_frozen,10,76001,False,35,35,0,0
contextual_policy,9101,evaluation_train_world_frozen,11,76002,False,35,34,0,0
contextual_policy,9101,evaluation_train_world_frozen,12,76003,False,35,34,1,0
contextual_policy,9101,evaluation_train_world_frozen,13,76004,True,11,2,1,0
contextual_policy,9101,evaluation_train_world_frozen,14,76005,False,35,34,0,0
contextual_policy,9101,evaluation_train_world_frozen,15,76001,False,35,35,0,0
contextual_policy,9101,evaluation_train_world_frozen,16,76002,False,35,34,0,0
