condition,seed,episode,step,action,template,action_signature,total_reward,external_reward,intrinsic_reward,semantic_gain,prophecy_error,error,flag_found,done,imagination_score,imagination_candidate_count
A2_REWARD_OFF,0,0,1,INSPECT_CELL,INSPECT_CELL {KK_UNKNOWN_NEIGHBOR},"INSPECT_CELL {KK_UNKNOWN_NEIGHBOR}|KK_UNKNOWN_NEIGHBOR=(1, 0)",0.5,0.0,0.5,5,0.09285714285714285,False,False,False,1.4698437500000001,12
A2_REWARD_OFF,0,0,2,INSPECT_CELL,INSPECT_CELL {KK_UNKNOWN_NEIGHBOR},"INSPECT_CELL {KK_UNKNOWN_NEIGHBOR}|KK_UNKNOWN_NEIGHBOR=(1, 2)",0.7000000000000001,0.0,0.7000000000000001,7,0.09285714285714285,False,False,False,1.4699465200416006,11
A2_REWARD_OFF,0,0,3,MOVE_TOWARD,MOVE_TOWARD {KK_FRONTIER_CELL},"MOVE_TOWARD {KK_FRONTIER_CELL}|KK_FRONTIER_CELL=(1, 3)",0.1,0.0,0.1,1,0.07023809523809521,False,False,False,1.4697874679699585,5
A2_REWARD_OFF,0,0,4,MOVE_TOWARD,MOVE_TOWARD {KK_FRONTIER_CELL},"MOVE_TOWARD {KK_FRONTIER_CELL}|KK_FRONTIER_CELL=(0, 2)",0.4,0.0,0.4,4,0.11587301587301585,False,False,False,3.1804330738813285,10
A2_REWARD_OFF,0,0,5,MOVE_TOWARD,MOVE_TOWARD {KK_FRONTIER_CELL},"MOVE_TOWARD {KK_FRONTIER_CELL}|KK_FRONTIER_CELL=(0, 1)",0.2,0.0,0.2,2,0.08690476190476194,False,False,False,6.75458039131129,9
A2_REWARD_OFF,0,0,6,INSPECT_CELL,INSPECT_CELL {KK_UNKNOWN_NEIGHBOR},"INSPECT_CELL {KK_UNKNOWN_NEIGHBOR}|KK_UNKNOWN_NEIGHBOR=(0, 0)",0.1,0.0,0.1,1,0.09285714285714285,False,False,False,1.4700344887004442,7
A2_REWARD_OFF,0,0,7,MOVE_TOWARD,MOVE_TOWARD {KK_FRONTIER_CELL},"MOVE_TOWARD {KK_FRONTIER_CELL}|KK_FRONTIER_CELL=(0, 3)",0.0,0.0,0.0,0,0.04761904761904759,False,False,False,1.4699316547244807,5
A2_REWARD_OFF,0,0,8,INSPECT_CELL,INSPECT_CELL {KK_UNKNOWN_NEIGHBOR},"INSPECT_CELL {KK_UNKNOWN_NEIGHBOR}|KK_UNKNOWN_NEIGHBOR=(0, 3)",0.1,0.0,0.1,1,0.061904761904761886,False,False,False,3.7389931034605906,7
A2_REWARD_OFF,0,0,9,MOVE_TOWARD,MOVE_TOWARD {KK_FRONTIER_CELL},"MOVE_TOWARD {KK_FRONTIER_CELL}|KK_FRONTIER_CELL=(2, 2)",0.0,0.0,0.0,0,0.04761904761904759,False,False,False,1.3615931995491692,4
A2_REWARD_OFF,0,0,10,INSPECT_CELL,INSPECT_CELL {KK_UNKNOWN_NEIGHBOR},"INSPECT_CELL {KK_UNKNOWN_NEIGHBOR}|KK_UNKNOWN_NEIGHBOR=(1, 3)",0.1,0.0,0.1,1,0.07777777777777777,False,False,False,4.0279208234154815,8
