severity,experiment,anomaly_type,identifier,previous_identifier,next_identifier,metrics_json,context_note
high,autonomy,high_prediction_failed_episode,autonomy|prophecy_no_imagination|opaque_dependency_l4|training|131|51001||24|,autonomy|prophecy_no_imagination|opaque_dependency_l4|training|131|51008||23|,autonomy|prophecy_no_imagination|opaque_dependency_l4|training|131|51002||25|,"{""errors"": ""0"", ""holdout_gain"": ""0.0"", ""prediction_score"": ""1.0"", ""real_transitions"": ""4"", ""repeats"": ""0"", ""steps"": ""4"", ""success"": ""0""}",Prediction score >= 0.8 while the episode failed.
high,autonomy,high_prediction_failed_episode,autonomy|prophecy_no_imagination|opaque_dependency_l4|training|131|51005||28|,autonomy|prophecy_no_imagination|opaque_dependency_l4|training|131|51004||27|,autonomy|prophecy_no_imagination|opaque_dependency_l4|training|131|51006||29|,"{""errors"": ""0"", ""holdout_gain"": ""0.0"", ""prediction_score"": ""1.0"", ""real_transitions"": ""4"", ""repeats"": ""0"", ""steps"": ""4"", ""success"": ""0""}",Prediction score >= 0.8 while the episode failed.
high,autonomy,high_prediction_failed_episode,autonomy|prophecy_no_imagination|opaque_dependency_l4|training|131|51006||29|,autonomy|prophecy_no_imagination|opaque_dependency_l4|training|131|51005||28|,autonomy|prophecy_no_imagination|opaque_dependency_l4|training|131|51007||30|,"{""errors"": ""0"", ""holdout_gain"": ""0.0"", ""prediction_score"": ""1.0"", ""real_transitions"": ""4"", ""repeats"": ""0"", ""steps"": ""4"", ""success"": ""0""}",Prediction score >= 0.8 while the episode failed.
high,autonomy,high_prediction_failed_episode,autonomy|prophecy_no_imagination|opaque_dependency_l4|training|131|51001||32|,autonomy|prophecy_no_imagination|opaque_dependency_l4|training|131|51008||31|,autonomy|prophecy_no_imagination|opaque_dependency_l4|training|131|51002||33|,"{""errors"": ""0"", ""holdout_gain"": ""0.0"", ""prediction_score"": ""1.0"", ""real_transitions"": ""4"", ""repeats"": ""0"", ""steps"": ""4"", ""success"": ""0""}",Prediction score >= 0.8 while the episode failed.
high,autonomy,high_prediction_failed_episode,autonomy|prophecy_no_imagination|opaque_dependency_l4|training|131|51002||33|,autonomy|prophecy_no_imagination|opaque_dependency_l4|training|131|51001||32|,autonomy|prophecy_no_imagination|opaque_dependency_l4|training|131|51003||34|,"{""errors"": ""0"", ""holdout_gain"": ""0.0"", ""prediction_score"": ""1.0"", ""real_transitions"": ""4"", ""repeats"": ""0"", ""steps"": ""4"", ""success"": ""0""}",Prediction score >= 0.8 while the episode failed.
high,autonomy,high_prediction_failed_episode,autonomy|prophecy_no_imagination|opaque_dependency_l4|training|131|51003||34|,autonomy|prophecy_no_imagination|opaque_dependency_l4|training|131|51002||33|,autonomy|prophecy_no_imagination|opaque_dependency_l4|training|131|51004||35|,"{""errors"": ""0"", ""holdout_gain"": ""0.0"", ""prediction_score"": ""1.0"", ""real_transitions"": ""4"", ""repeats"": ""0"", ""steps"": ""4"", ""success"": ""0""}",Prediction score >= 0.8 while the episode failed.
high,autonomy,high_prediction_failed_episode,autonomy|prophecy_no_imagination|opaque_dependency_l4|training|131|51005||36|,autonomy|prophecy_no_imagination|opaque_dependency_l4|training|131|51004||35|,autonomy|prophecy_no_imagination|opaque_dependency_l4|training|131|51006||37|,"{""errors"": ""0"", ""holdout_gain"": ""0.0"", ""prediction_score"": ""1.0"", ""real_transitions"": ""4"", ""repeats"": ""0"", ""steps"": ""4"", ""success"": ""0""}",Prediction score >= 0.8 while the episode failed.
high,autonomy,high_prediction_failed_episode,autonomy|prophecy_no_imagination|opaque_dependency_l4|training|131|51007||38|,autonomy|prophecy_no_imagination|opaque_dependency_l4|training|131|51006||37|,autonomy|prophecy_no_imagination|opaque_dependency_l4|training|131|51008||39|,"{""errors"": ""0"", ""holdout_gain"": ""0.0"", ""prediction_score"": ""1.0"", ""real_transitions"": ""4"", ""repeats"": ""0"", ""steps"": ""4"", ""success"": ""0""}",Prediction score >= 0.8 while the episode failed.
high,autonomy,high_prediction_failed_episode,autonomy|prophecy_no_imagination|opaque_dependency_l4|training|131|51008||39|,autonomy|prophecy_no_imagination|opaque_dependency_l4|training|131|51007||38|,autonomy|prophecy_no_imagination|opaque_dependency_l4|training|131|51001||40|,"{""errors"": ""0"", ""holdout_gain"": ""0.0"", ""prediction_score"": ""1.0"", ""real_transitions"": ""4"", ""repeats"": ""0"", ""steps"": ""4"", ""success"": ""0""}",Prediction score >= 0.8 while the episode failed.
high,autonomy,high_prediction_failed_episode,autonomy|prophecy_no_imagination|opaque_dependency_l4|training|131|51001||40|,autonomy|prophecy_no_imagination|opaque_dependency_l4|training|131|51008||39|,autonomy|prophecy_no_imagination|opaque_dependency_l4|training|131|51002||41|,"{""errors"": ""0"", ""holdout_gain"": ""0.0"", ""prediction_score"": ""1.0"", ""real_transitions"": ""4"", ""repeats"": ""0"", ""steps"": ""4"", ""success"": ""0""}",Prediction score >= 0.8 while the episode failed.
